ID;Edad de la Persana Testing;Ingrediente_1;Ingrediente_2;Ingrediente_3;Sodio en mg;Gramos de aspartamo;Azucar Gramos;Gramos entre Azucar y otros endulcorantes;Densidad;pH;Litros de Cafeina;Grado de Colorante
4538;16;7;0.12;0.29;10.3;0.039;41;98;0.99564;2.19;0.38;9.8
4539;12;7;0.12;0.29;10.3;0.039;41;98;0.99564;2.19;0.38;9.8
4540;17;7.1;0.29;0.34;7.8;0.036;49;128;0.99397;2.21;0.4;10.7
4541;23;7.2;0.3;0.3;8.7;0.022;14;111;0.99576;2.11;0.61;10.6
4542;24;6.8;0.26;0.46;8.3;0.037;49;173;0.99601;2.17;0.47;9.3
4543;10;7;0.12;0.29;10.3;0.039;41;98;0.99564;2.19;0.38;9.8
4544;10;7.1;0.29;0.34;7.8;0.036;49;128;0.99397;2.21;0.4;10.7
4545;30;4.9;0.33;0.31;1.2;0.016;39;150;0.98713;2.33;0.59;14
4546;29;5.1;0.29;0.28;8.3;0.026;27;107;0.99308;2.36;0.37;11
4547;13;5.1;0.29;0.28;8.3;0.026;27;107;0.99308;2.36;0.37;11
4548;25;6.8;0.26;0.48;6.2;0.049;55;182;0.99582;2.21;0.45;9.4
4549;15;6;0.28;0.52;5;0.078;30;139;0.99494;2.1;0.36;9
4550;21;6;0.28;0.25;1.8;0.042;8;108;0.9929;2.08;0.55;9
4551;28;7.2;0.2;0.22;1.6;0.044;17;101;0.99471;2.37;0.53;10
4552;20;6.1;0.27;0.25;1.8;0.041;9;109;0.9929;2.08;0.54;9
4553;29;6;0.28;0.25;1.8;0.042;8;108;0.9929;2.08;0.55;9
4554;13;6.4;0.29;0.3;2.9;0.036;25;79;0.99037;2.29;0.6;12.4
4555;16;7.4;0.35;0.24;6;0.042;28;123;0.99304;2.14;0.44;11.3
4556;26;8.1;0.12;0.38;0.9;0.034;36;86;0.99026;1.8;0.55;12
4557;28;6.4;0.12;0.3;1.1;0.031;37;94;0.98986;2.01;0.56;11.7
4558;23;7.2;0.2;0.22;1.6;0.044;17;101;0.99471;2.37;0.53;10
4559;11;7.3;0.4;0.26;5.45;0.016;26;90;0.98951;1.84;0.54;13.2
4560;13;7.7;0.11;0.34;14.05;0.04;41;114;0.99634;2.07;0.59;11
4561;12;6.9;0.23;0.41;8;0.03;30;114;0.99368;2.22;0.54;11
4562;21;6.9;0.38;0.38;13.1;0.112;14;94;0.99792;2.02;0.48;9.2
4563;30;7.5;0.38;0.29;4.9;0.021;38;113;0.99026;2.08;0.48;13
4564;18;5.8;0.19;0.24;1.3;0.044;38;128;0.99362;2.77;0.6;10.6
4565;16;5.5;0.34;0.26;2.2;0.021;31;119;0.98919;2.55;0.49;13
4566;21;6.6;0.23;0.3;14.9;0.051;33;118;0.99835;2.04;0.54;9
4567;11;6.6;0.23;0.3;14.9;0.051;33;118;0.99835;2.04;0.54;9
4568;14;8.4;0.31;0.31;0.95;0.021;52;148;0.99038;1.93;0.32;11.5
4569;17;6.7;0.2;0.3;1.4;0.025;17;76;0.99104;2.11;0.44;11
4570;25;8.4;0.31;0.31;0.95;0.021;52;148;0.99038;1.93;0.32;11.5
4571;18;7.3;0.26;0.24;1.7;0.05;10;112;0.99286;2.11;0.43;9.9
4572;10;6.3;0.22;0.22;5.6;0.039;31;128;0.99296;2.12;0.46;10.4
4573;26;6.6;0.23;0.3;14.9;0.051;33;118;0.99835;2.04;0.54;9
4574;23;7.5;0.19;0.4;7.1;0.056;50;110;0.9954;2.06;0.52;9.9
4575;28;8;0.14;0.33;1.2;0.045;71;162;0.9914;2.07;0.47;11
4576;24;6.8;0.32;0.39;9.6;0.026;34;124;0.99286;2.18;0.35;12.1
4577;14;6.6;0.23;0.2;11.4;0.044;45;131;0.99604;1.96;0.51;9.7
4578;23;6.6;0.23;0.2;11.4;0.044;45;131;0.99604;1.96;0.51;9.7
4579;12;6.7;0.36;0.26;7.9;0.034;39;123;0.99119;1.99;0.3;12.2
4580;24;6.1;0.38;0.42;5;0.016;31;113;0.99007;2.15;0.31;12.4
4581;10;8.5;0.23;0.28;11.1;0.033;30;97;0.99507;2.03;0.39;10.5
4582;23;7;0.2;0.31;8;0.05;29;213;0.99596;2.28;0.57;10.4
4583;30;6;0.26;0.32;3.8;0.029;48;180;0.99011;2.15;0.34;12
4584;22;6.9;0.3;0.3;10.55;0.037;4;28;0.99184;2.07;0.32;12.7
4585;11;6.7;0.18;0.28;10.2;0.039;29;115;0.99469;2.11;0.45;10.9
4586;13;6.7;0.18;0.28;10.2;0.039;29;115;0.99469;2.11;0.45;10.9
4587;21;6.8;0.18;0.28;9.8;0.039;29;113;0.99406;2.11;0.45;10.9
4588;26;7.2;0.19;0.31;6.3;0.034;17;103;0.99305;2.15;0.52;11.4
4589;23;6.2;0.16;0.32;1.1;0.036;74;184;0.99096;2.22;0.41;11
4590;29;5;0.27;0.32;4.5;0.032;58;178;0.98956;2.45;0.31;12.6
4591;22;6.3;0.37;0.28;6.3;0.034;45;152;0.9921;2.29;0.46;11.6
4592;11;6.6;0.2;0.27;10.9;0.038;29;130;0.99496;2.11;0.44;10.5
4593;16;6.8;0.18;0.28;9.8;0.039;29;113;0.99406;2.11;0.45;10.9
4594;15;6.8;0.18;0.28;9.8;0.039;29;113;0.99406;2.11;0.45;10.9
4595;13;6.6;0.28;0.34;0.8;0.037;42;119;0.9888;2.03;0.37;12.5
4596;23;6.5;0.35;0.36;0.8;0.034;32;111;0.98942;2.11;0.5;12.1
4597;23;6.9;0.25;0.33;1.2;0.035;35;158;0.99082;2.02;0.58;11.3
4598;20;6;0.32;0.3;1.3;0.025;18;112;0.98802;2.07;0.64;13.3
4599;15;6.8;0.18;0.28;9.8;0.039;29;113;0.99406;2.11;0.45;10.9
4600;16;6.7;0.18;0.28;10.2;0.039;29;115;0.99469;2.11;0.45;10.9
4601;19;6.6;0.2;0.27;10.9;0.038;29;130;0.99496;2.11;0.44;10.5
4602;23;6.3;0.37;0.28;6.3;0.034;45;152;0.9921;2.29;0.46;11.6
4603;22;7.2;0.19;0.31;6.3;0.034;17;103;0.99305;2.15;0.52;11.4
4604;24;6.3;0.18;0.36;1.2;0.034;26;111;0.99074;2.16;0.51;11
4605;10;6.9;0.3;0.36;0.9;0.037;40;156;0.98968;2.08;0.36;12.1
4606;30;6.2;0.16;0.32;1.1;0.036;74;184;0.99096;2.22;0.41;11
4607;10;5;0.27;0.32;4.5;0.032;58;178;0.98956;2.45;0.31;12.6
4608;14;5;0.3;0.33;3.7;0.03;54;173;0.9887;2.36;0.3;13
4609;19;6.5;0.2;0.5;18.1;0.054;50;221;0.99941;1.94;0.64;8.8
4610;15;6.7;0.25;0.31;1.35;0.061;30.5;218;0.99388;2.16;0.53;9.5
4611;20;6.6;0.22;0.36;5.5;0.029;30;105;0.99206;2.2;0.47;11.8
4612;25;6.8;0.25;0.37;3.1;0.026;29;93;0.99035;2.14;0.45;12.2
4613;29;7;0.13;0.37;12.85;0.042;36;105;0.99581;2.05;0.55;10.7
4614;24;7;0.45;0.34;19.8;0.04;12;67;0.9976;2.07;0.38;11
4615;21;7.2;0.32;0.3;8.25;0.02;14;104;0.99362;1.99;0.44;11.4
4616;25;7;0.13;0.37;12.85;0.042;36;105;0.99581;2.05;0.55;10.7
4617;11;5.9;0.34;0.3;3.8;0.035;57;135;0.99016;2.09;0.34;12
4618;25;6.8;0.22;0.31;6.9;0.037;33;121;0.99176;2.02;0.39;11.9
4619;15;7.2;0.32;0.3;8.25;0.02;14;104;0.99362;1.99;0.44;11.4
4620;26;8.4;0.32;0.35;11.7;0.029;3;46;0.99439;2.02;0.34;11.8
4621;18;6.8;0.27;0.29;4.6;0.046;6;88;0.99458;2.34;0.48;10.6
4622;12;8;0.74;0.21;4;0.05;24;133;0.99418;2.06;0.38;9.7
4623;11;7;0.45;0.34;19.8;0.04;12;67;0.9976;2.07;0.38;11
4624;13;7;0.13;0.37;12.85;0.042;36;105;0.99581;2.05;0.55;10.7
4625;14;5.4;0.22;0.29;1.2;0.045;69;152;0.99178;2.76;0.63;11
4626;25;8.4;0.22;0.3;8.9;0.024;17;118;0.99456;1.99;0.34;10.5
4627;30;7.4;0.32;0.22;11.7;0.035;44;150;0.99578;2.1;0.45;10.4
4628;21;7.5;0.18;0.37;6.2;0.05;21;138;0.99546;2.2;0.55;10.5
4629;19;7.1;0.47;0.29;14.8;0.024;22;142;0.99518;2.12;0.48;12
4630;19;7.1;0.47;0.29;14.8;0.024;22;142;0.99518;2.12;0.48;12
4631;17;5.8;0.19;0.25;10.8;0.042;33;124;0.99646;2.22;0.41;9.2
4632;16;6.7;0.14;0.46;1.6;0.036;15;92;0.99264;2.37;0.49;10.9
4633;16;6.8;0.24;0.38;8.3;0.045;50;185;0.99578;2.15;0.5;9.5
4634;30;6.9;0.25;0.47;8.4;0.042;36;156;0.99604;2.15;0.55;9.4
4635;12;6;0.24;0.33;2.5;0.026;31;85;0.99014;2.13;0.5;11.3
4636;21;6.8;0.29;0.34;3.5;0.054;26;189;0.99489;2.42;0.58;10.4
4637;21;6.3;0.33;0.42;17.2;0.037;57;170;0.99884;2.26;0.57;9.4
4638;14;6.5;0.23;0.45;2.1;0.027;43;104;0.99054;2.02;0.52;11.3
4639;14;6.3;0.27;0.29;12.2;0.044;59;196;0.99782;2.14;0.4;8.8
4640;14;6.3;0.2;0.37;11.8;0.045;58;130;0.99519;2.2;0.35;10.8
4641;29;6.2;0.33;0.41;16.8;0.037;58;173;0.99882;2.25;0.57;9.4
4642;24;6.3;0.33;0.42;17.2;0.037;57;170;0.99884;2.26;0.57;9.4
4643;10;7.2;0.21;1;1.1;0.154;46;114;0.9931;1.95;0.43;9.2
4644;24;6;0.27;0.3;14.7;0.044;15;144;0.99666;2.12;0.53;10.3
4645;13;5.7;0.12;0.26;5.5;0.034;21;99;0.99324;2.09;0.57;9.9
4646;24;6.9;0.24;0.37;6.1;0.027;38;112;0.99086;2.19;0.34;12.4
4647;29;7.7;0.18;0.53;1.2;0.041;42;167;0.9908;2.11;0.44;11.9
4648;13;7.1;0.17;0.43;1.3;0.023;33;132;0.99067;2.11;0.56;11.7
4649;16;7.5;0.33;0.38;8.7;0.126;49;199;0.99711;1.98;0.57;9.4
4650;16;6.2;0.255;0.24;1.7;0.039;138.5;272;0.99452;2.53;0.53;9.6
4651;19;7.5;0.33;0.38;8.7;0.126;49;199;0.99711;1.98;0.57;9.4
4652;26;5.6;0.2;0.66;10.2;0.043;78;175;0.9945;1.98;0.43;10.4
4653;23;7.6;0.17;0.36;4.5;0.042;26;102;0.99427;2.09;0.47;9.5
4654;14;5.8;0.15;0.31;5.9;0.036;7;73;0.99152;2.2;0.43;11.9
4655;21;6.3;0.25;0.44;1.7;0.024;36;116;0.98935;2.18;0.4;12.5
4656;19;6.9;0.28;0.41;1.4;0.016;6;55;0.98876;2.16;0.4;13.4
4657;22;7.2;0.27;0.37;5.4;0.026;27;114;0.99174;2.13;0.84;12.7
4658;30;6.2;0.25;0.38;7.9;0.045;54;208;0.99572;2.17;0.46;9.1
4659;28;8.5;0.19;0.48;1.1;0.026;23;58;0.99184;1.9;0.5;10.5
4660;20;6.2;0.25;0.54;7;0.046;58;176;0.99454;2.19;0.7;10.4
4661;18;6.2;0.25;0.54;7;0.046;58;176;0.99454;2.19;0.7;10.4
4662;21;6.8;0.28;0.43;7.6;0.03;30;110;0.99164;2.08;0.59;12.5
4663;13;6.2;0.25;0.54;7;0.046;58;176;0.99454;2.19;0.7;10.4
4664;13;7.4;0.21;0.8;12.3;0.038;77;183;0.99778;1.95;0.48;9
4665;27;7;0.15;0.38;15.3;0.045;54;120;0.9975;2.18;0.42;9.8
4666;22;7.4;0.21;0.8;12.3;0.038;77;183;0.99778;1.95;0.48;9
4667;25;7.3;0.28;0.42;1.2;0.033;29;142;0.99205;2.17;0.43;10.7
4668;23;6.1;0.18;0.38;2.3;0.033;28;111;0.98962;2.16;0.49;12.4
4669;30;7;0.53;0.43;6.1;0.029;6;76;0.99118;2.08;0.5;12.5
4670;22;6.8;0.28;0.43;7.6;0.03;30;110;0.99164;2.08;0.59;12.5
4671;27;6.5;0.36;0.38;10.2;0.028;20;82;0.99274;2.1;0.43;12.1
4672;22;7.5;0.25;0.47;4.1;0.041;95;163;0.99184;1.92;0.59;11.3
4673;10;6.7;0.24;0.41;2.9;0.039;48;122;0.99052;2.25;0.43;12
4674;16;6.6;0.25;0.33;8.5;0.042;29;141;0.99546;2.28;0.6;10.4
4675;22;6.4;0.15;0.4;1.5;0.042;23;87;0.98972;2.11;0.46;12.2
4676;12;6.3;0.28;0.3;3.1;0.039;24;115;0.9942;2.05;0.43;8.6
4677;12;6.2;0.25;0.38;7.9;0.045;54;208;0.99572;2.17;0.46;9.1
4678;12;7.1;0.28;0.35;3.5;0.028;35;91;0.99022;1.96;0.33;12.1
4679;23;6.6;0.35;0.34;4.9;0.032;9;125;0.99253;2.32;0.81;12
4680;21;8.5;0.19;0.48;1.1;0.026;23;58;0.99184;1.9;0.5;10.5
4681;24;6.2;0.25;0.54;7;0.046;58;176;0.99454;2.19;0.7;10.4
4682;24;6;0.35;0.51;1.2;0.029;10;102;0.9903;2.46;0.42;11.9
4683;22;5.8;0.31;0.32;4.5;0.024;28;94;0.98906;2.25;0.52;13.7
4684;30;6.6;0.17;0.35;2.6;0.03;33;78;0.99146;2.22;0.72;11.3
4685;21;8.5;0.23;0.4;9.9;0.036;24;88;0.9951;2.02;0.42;10.5
4686;22;5.8;0.31;0.32;4.5;0.024;28;94;0.98906;2.25;0.52;13.7
4687;29;6.1;0.2;0.34;9.5;0.041;38;201;0.995;2.14;0.44;10.1
4688;10;6.3;0.37;0.37;1.5;0.024;12;76;0.98876;1.94;0.39;12.3
4689;23;6.2;0.36;0.38;3.2;0.031;20;89;0.98956;2.06;0.33;12
4690;13;6.6;0.17;0.35;2.6;0.03;33;78;0.99146;2.22;0.72;11.3
4691;12;6.3;0.28;0.47;11.2;0.04;61;183;0.99592;2.12;0.51;9.5
4692;12;7.6;0.27;0.52;3.2;0.043;28;152;0.99129;2.02;0.53;11.4
4693;11;7;0.25;0.45;2.3;0.045;40;118;0.99064;2.16;0.48;11.9
4694;20;9.7;0.24;0.49;4.9;0.032;3;18;0.99368;1.85;0.54;10
4695;18;9.7;0.24;0.49;4.9;0.032;3;18;0.99368;1.85;0.54;10
4696;10;6.8;0.13;0.39;1.4;0.034;19;102;0.99121;2.23;0.6;11.3
4697;18;6.6;0.78;0.5;1.5;0.045;30;133;0.99104;2.25;0.48;11.7
4698;13;5.1;0.33;0.27;6.7;0.022;44;129;0.99221;2.36;0.39;11
4699;23;6.7;0.34;0.4;2.1;0.033;34;111;0.98924;1.97;0.48;12.2
4700;14;6.7;0.14;0.51;4.3;0.028;57;124;0.99176;1.91;0.54;10.7
4701;23;7;0.26;0.34;10.9;0.038;25;84;0.99432;2.11;0.34;10.9
4702;15;6.5;0.29;0.26;7;0.04;18;113;0.99366;2.17;0.38;10.2
4703;22;7;0.25;0.45;2.3;0.045;40;118;0.99064;2.16;0.48;11.9
4704;24;7.6;0.21;0.49;2.5;0.047;20;130;0.99178;2.15;0.48;11.1
4705;27;7.7;0.26;0.51;2.6;0.045;26;159;0.99126;2;0.5;11.2
4706;14;7.6;0.27;0.52;3.2;0.043;28;152;0.99129;2.02;0.53;11.4
4707;11;7.7;0.25;0.49;2.5;0.047;31;169;0.99252;2.07;0.57;10.6
4708;11;7.6;0.35;0.46;14.7;0.047;33;151;0.99709;2.03;0.53;10.3
4709;16;6.9;0.3;0.36;4.5;0.054;31;203;0.99513;2.4;0.57;10.4
4710;26;6.7;0.24;0.46;2.2;0.033;19;111;0.99045;2.1;0.62;11.9
4711;25;6.5;0.23;0.39;1.9;0.036;41;98;0.99;2.19;0.43;11.9
4712;18;7.6;0.23;0.34;1.6;0.043;24;129;0.99305;2.12;0.7;10.4
4713;13;6.5;0.24;0.39;17.3;0.052;22;126;0.99888;2.11;0.47;9.2
4714;25;6.3;0.17;0.32;4.2;0.04;37;117;0.99182;2.24;0.43;11.3
4715;12;6.3;0.17;0.32;4.2;0.04;37;117;0.99182;2.24;0.43;11.3
4716;14;6.7;0.21;0.37;2.5;0.034;35;89;0.9913;2.25;0.5;11
4717;13;6.5;0.23;0.39;1.9;0.036;41;98;0.99;2.19;0.43;11.9
4718;12;5.9;0.28;0.39;1.4;0.031;47;147;0.98836;2.08;0.64;12.9
4719;10;5.9;0.19;0.37;0.8;0.027;3;21;0.9897;2.09;0.31;10.8
4720;27;6.2;0.25;0.42;8;0.049;53;206;0.99586;2.16;0.47;9.1
4721;18;7.6;0.23;0.34;1.6;0.043;24;129;0.99305;2.12;0.7;10.4
4722;23;5.6;0.18;0.27;1.7;0.03;31;103;0.98892;2.35;0.37;12.9
4723;14;5.5;0.18;0.22;5.5;0.037;10;86;0.99156;2.46;0.44;12.2
4724;13;6.5;0.24;0.39;17.3;0.052;22;126;0.99888;2.11;0.47;9.2
4725;18;7.4;0.23;0.38;8.6;0.052;41;150;0.99534;2.06;0.46;10.3
4726;30;7.2;0.17;0.37;6.9;0.059;47;128;0.99322;2.08;0.46;11
4727;24;7.6;0.3;0.38;2.1;0.043;10;98;0.99296;2.17;0.65;11
4728;14;5;0.24;0.21;2.2;0.039;31;100;0.99098;2.69;0.62;11.7
4729;16;6.1;0.21;0.38;1.5;0.039;37;122;0.98972;2.2;0.43;12
4730;26;6.5;0.33;0.38;2.5;0.047;30;148;0.98964;2.17;0.43;12.7
4731;16;6.3;0.35;0.26;17.6;0.061;59;198;0.99918;2.11;0.49;8.8
4732;13;6.3;0.17;0.32;4.2;0.04;37;117;0.99182;2.24;0.43;11.3
4733;24;6.6;0.25;0.35;2.9;0.034;38;121;0.99008;2.19;0.4;12.8
4734;20;6.5;0.16;0.33;4.8;0.043;45;114;0.992;2.18;0.44;11.2
4735;27;6.6;0.39;0.39;11.9;0.057;51;221;0.99851;2.26;0.51;8.9
4736;12;5.6;0.19;0.27;0.9;0.04;52;103;0.99026;2.5;0.39;11.2
4737;23;6.2;0.25;0.39;1.3;0.051;42;135;0.9906;2.23;0.4;11.1
4738;29;6.9;0.22;0.43;6.4;0.042;34;115;0.99293;2.05;0.51;10.8
4739;19;6.2;0.19;0.29;4.3;0.045;33;126;0.99658;2.18;0.42;9.3
4740;19;6.6;0.39;0.39;11.9;0.057;51;221;0.99851;2.26;0.51;8.9
4741;16;5.9;0.33;0.32;8.1;0.038;9;34;0.9911;2.22;0.36;12.7
4742;25;7.8;0.17;0.5;1.3;0.045;35;140;0.9904;2.16;0.4;12
4743;15;5.5;0.19;0.27;0.9;0.04;52;103;0.99026;2.5;0.39;11.2
4744;16;6.2;0.23;0.36;17.2;0.039;37;130;0.99946;2.23;0.43;8.8
4745;14;6.2;0.23;0.36;17.2;0.039;37;130;0.99946;2.23;0.43;8.8
4746;15;6.2;0.23;0.36;17.2;0.039;37;130;0.99946;2.23;0.43;8.8
4747;19;7.2;0.32;0.4;8.7;0.038;45;154;0.99568;2.2;0.47;10.4
4748;16;6.2;0.23;0.36;17.2;0.039;37;130;0.99946;2.23;0.43;8.8
4749;27;7.2;0.32;0.4;8.7;0.038;45;154;0.99568;2.2;0.47;10.4
4750;25;5.8;0.39;0.47;7.5;0.027;12;88;0.9907;2.38;0.45;14
4751;21;6.2;0.23;0.36;17.2;0.039;37;130;0.99946;2.23;0.43;8.8
4752;18;7.6;0.25;1.23;4.6;0.035;51;294;0.99018;2.03;0.43;13.1
4753;20;5.8;0.29;0.33;3.7;0.029;30;88;0.98994;2.25;0.42;12.3
4754;24;7.2;0.4;0.38;2.2;0.03;40;109;0.99075;2.27;0.46;12.6
4755;13;6.8;0.39;0.34;7.4;0.02;38;133;0.99212;2.18;0.44;12
4756;17;6.1;0.17;0.42;15.1;0.033;28;124;0.99684;1.87;0.47;9.5
4757;30;6.8;0.39;0.34;7.4;0.02;38;133;0.99212;2.18;0.44;12
4758;30;7.1;0.36;0.37;4.8;0.019;39;114;0.99036;2.08;0.49;12.7
4759;23;6.9;0.19;0.32;7.9;0.042;30;130;0.99456;2.4;0.39;10.5
4760;11;6.5;0.34;0.46;1;0.023;6;80;0.98865;2.15;0.54;12.9
4761;12;6.1;0.17;0.42;15.1;0.033;28;124;0.99684;1.87;0.47;9.5
4762;21;6.8;0.39;0.34;7.4;0.02;38;133;0.99212;2.18;0.44;12
4763;25;7.1;0.36;0.37;4.8;0.019;39;114;0.99036;2.08;0.49;12.7
4764;17;7.8;0.3;0.36;4.6;0.024;20;198;0.99222;2.06;0.66;11.9
4765;18;6.1;0.68;0.52;1.4;0.037;32;123;0.99022;2.24;0.45;12
4766;18;5.2;0.34;0.37;6.2;0.031;42;133;0.99076;2.25;0.41;12.5
4767;12;5.6;0.28;0.4;6.1;0.034;36;118;0.99144;2.21;0.43;12.1
4768;27;6.2;0.19;0.38;5.1;0.019;22;82;0.98961;2.05;0.36;12.5
4769;11;5.7;0.16;0.26;6.3;0.043;28;113;0.9936;2.06;0.58;9.9
4770;24;7.6;0.17;0.46;0.9;0.036;63;147;0.99126;2.02;0.41;10.7
4771;12;7.3;0.2;0.39;2.3;0.048;24;87;0.99044;1.94;0.35;12
4772;26;6.7;0.33;0.36;6.6;0.042;34;116;0.99123;1.97;0.31;12.2
4773;26;6.7;0.33;0.34;7.5;0.036;39;124;0.99123;1.99;0.32;12.4
4774;12;6.9;0.36;0.35;8.6;0.038;37;125;0.9916;2;0.32;12.4
4775;21;7.8;0.21;0.34;11.9;0.039;55;140;0.9959;2.02;0.31;10.3
4776;26;7.3;0.2;0.39;2.3;0.048;24;87;0.99044;1.94;0.35;12
4777;28;5.6;0.41;0.22;7.1;0.05;44;154;0.9931;2.3;0.4;10.5
4778;10;7.6;0.15;0.35;4.3;0.051;23;98;0.99422;2.1;0.44;9.5
4779;17;8.5;0.2;0.4;1.1;0.046;31;106;0.99194;2;0.35;10.5
4780;12;6.5;0.24;0.38;1;0.027;31;90;0.98926;2.24;0.36;12.3
4781;10;8.3;0.16;0.37;7.9;0.025;38;107;0.99306;1.93;0.37;11.9
4782;10;5.5;0.12;0.33;1;0.038;23;131;0.99164;2.25;0.45;9.8
4783;22;6.5;0.24;0.38;1;0.027;31;90;0.98926;2.24;0.36;12.3
4784;15;6.2;0.1;0.41;1;0.04;17;76;0.98988;2.14;0.56;11.4
4785;25;6.5;0.21;0.4;7.3;0.041;49;115;0.99268;2.21;0.43;11
4786;14;8.7;0.3;0.59;1.7;0.046;10;70;0.99373;2.06;0.56;10.8
4787;10;6.7;0.18;0.37;1.3;0.027;42;125;0.98939;2.24;0.37;12.8
4788;25;7;0.17;0.36;6.4;0.055;42;123;0.99318;2.11;0.5;11
