ID;Edad de la Persana Testing;Ingrediente_1;Ingrediente_2;Ingrediente_3;Sodio en mg;Gramos de aspartamo;Azucar Gramos;Gramos entre Azucar y otros endulcorantes;Densidad;pH;Litros de Cafeina;Grado de Colorante;Indice_Satisfaccion
64;13;7;0.735;0.05;2;0.081;13;54;0.9966;2.39;0.57;9.8;0
65;28;7.2;0.725;0.05;4.65;0.086;4;11;0.9962;2.41;0.39;10.9;0
66;28;7.2;0.725;0.05;4.65;0.086;4;11;0.9962;2.41;0.39;10.9;0
67;30;7.5;0.52;0.11;1.5;0.079;11;39;0.9968;2.42;0.58;9.6;0
68;25;6.6;0.705;0.07;1.6;0.076;6;15;0.9962;2.44;0.58;10.7;0
69;21;9.3;0.32;0.57;2;0.074;27;65;0.9969;2.28;0.79;10.7;0
70;19;8;0.705;0.05;1.9;0.074;8;19;0.9962;2.34;0.95;10.5;1
71;15;7.7;0.63;0.08;1.9;0.076;15;27;0.9967;2.32;0.54;9.5;1
72;12;7.7;0.67;0.23;2.1;0.088;17;96;0.9962;2.32;0.48;9.5;0
73;22;7.7;0.69;0.22;1.9;0.084;18;94;0.9961;2.31;0.48;9.5;0
74;11;8.3;0.675;0.26;2.1;0.084;11;43;0.9976;2.31;0.53;9.2;0
75;23;9.7;0.32;0.54;2.5;0.094;28;83;0.9984;2.28;0.82;9.6;0
76;19;8.8;0.41;0.64;2.2;0.093;9;42;0.9986;2.54;0.66;10.5;0
77;30;8.8;0.41;0.64;2.2;0.093;9;42;0.9986;2.54;0.66;10.5;0
78;29;6.8;0.785;0;2.4;0.104;14;30;0.9966;2.52;0.55;10.7;1
79;17;6.7;0.75;0.12;2;0.086;12;80;0.9958;2.38;0.52;10.1;0
80;22;8.3;0.625;0.2;1.5;0.08;27;119;0.9972;2.16;1.12;9.1;0
81;18;6.2;0.45;0.2;1.6;0.069;3;15;0.9958;2.41;0.56;9.2;0
82;11;7.8;0.43;0.7;1.9;0.464;22;67;0.9974;2.13;1.28;9.4;0
83;16;7.4;0.5;0.47;2;0.086;21;73;0.997;2.36;0.57;9.1;0
84;15;7.3;0.67;0.26;1.8;0.401;16;51;0.9969;2.16;1.14;9.4;0
85;26;6.3;0.3;0.48;1.8;0.069;18;61;0.9959;2.44;0.78;10.3;1
86;16;6.9;0.55;0.15;2.2;0.076;19;40;0.9961;2.41;0.59;10.1;0
87;26;8.6;0.49;0.28;1.9;0.11;20;136;0.9972;1.93;1.95;9.9;1
88;30;7.7;0.49;0.26;1.9;0.062;9;31;0.9966;2.39;0.64;9.6;0
89;21;9.3;0.39;0.44;2.1;0.107;34;125;0.9978;2.14;1.22;9.5;0
90;29;7;0.62;0.08;1.8;0.076;8;24;0.9978;2.48;0.53;9;0
91;11;7.9;0.52;0.26;1.9;0.079;42;140;0.9964;2.23;0.54;9.5;0
92;20;8.6;0.49;0.28;1.9;0.11;20;136;0.9972;1.93;1.95;9.9;1
93;26;8.6;0.49;0.29;2;0.11;19;133;0.9972;1.93;1.98;9.8;0
94;24;7.7;0.49;0.26;1.9;0.062;9;31;0.9966;2.39;0.64;9.6;0
95;14;5;1.02;0.04;1.4;0.045;41;85;0.9938;2.75;0.48;10.5;0
96;27;4.7;0.6;0.17;2.3;0.058;17;106;0.9932;2.85;0.6;12.9;1
97;30;6.8;0.775;0;3;0.102;8;23;0.9965;2.45;0.56;10.7;0
98;25;7;0.5;0.25;2;0.07;3;22;0.9963;2.25;0.63;9.2;0
99;12;7.6;0.9;0.06;2.5;0.079;5;10;0.9967;2.39;0.56;9.8;0
100;15;8.1;0.545;0.18;1.9;0.08;13;35;0.9972;2.3;0.59;9;1
101;14;8.3;0.61;0.3;2.1;0.084;11;50;0.9972;2.4;0.61;10.2;1
102;12;7.8;0.5;0.3;1.9;0.075;8;22;0.9959;2.31;0.56;10.4;1
103;10;8.1;0.545;0.18;1.9;0.08;13;35;0.9972;2.3;0.59;9;1
104;13;8.1;0.575;0.22;2.1;0.077;12;65;0.9967;2.29;0.51;9.2;0
105;18;7.2;0.49;0.24;2.2;0.07;5;36;0.996;2.33;0.48;9.4;0
106;24;8.1;0.575;0.22;2.1;0.077;12;65;0.9967;2.29;0.51;9.2;0
107;24;7.8;0.41;0.68;1.7;0.467;18;69;0.9973;2.08;1.31;9.3;0
108;17;6.2;0.63;0.31;1.7;0.088;15;64;0.9969;2.46;0.79;9.3;0
109;23;8;0.33;0.53;2.5;0.091;18;80;0.9976;2.37;0.8;9.6;1
110;15;8.1;0.785;0.52;2;0.122;37;153;0.9969;2.21;0.69;9.3;0
111;14;7.8;0.56;0.19;1.8;0.104;12;47;0.9964;2.19;0.93;9.5;0
112;24;8.4;0.62;0.09;2.2;0.084;11;108;0.9964;2.15;0.66;9.8;0
113;23;8.4;0.6;0.1;2.2;0.085;14;111;0.9964;2.15;0.66;9.8;0
114;11;10.1;0.31;0.44;2.3;0.08;22;46;0.9988;2.32;0.67;9.7;1
115;10;7.8;0.56;0.19;1.8;0.104;12;47;0.9964;2.19;0.93;9.5;0
116;11;9.4;0.4;0.31;2.2;0.09;13;62;0.9966;2.07;0.63;10.5;1
117;21;8.3;0.54;0.28;1.9;0.077;11;40;0.9978;2.39;0.61;10;1
118;12;7.8;0.56;0.12;2;0.082;7;28;0.997;2.37;0.5;9.4;1
119;17;8.8;0.55;0.04;2.2;0.119;14;56;0.9962;2.21;0.6;10.9;1
120;21;7;0.69;0.08;1.8;0.097;22;89;0.9959;2.34;0.54;9.2;1
121;21;7.3;1.07;0.09;1.7;0.178;10;89;0.9962;2.3;0.57;9;0
122;21;8.8;0.55;0.04;2.2;0.119;14;56;0.9962;2.21;0.6;10.9;1
123;18;7.3;0.695;0;2.5;0.075;3;13;0.998;2.49;0.52;9.2;0
124;15;8;0.71;0;2.6;0.08;11;34;0.9976;2.44;0.53;9.5;0
125;20;7.8;0.5;0.17;1.6;0.082;21;102;0.996;2.39;0.48;9.5;0
126;25;9;0.62;0.04;1.9;0.146;27;90;0.9984;2.16;0.7;9.4;0
127;23;8.2;1.33;0;1.7;0.081;3;12;0.9964;2.53;0.49;10.9;0
128;26;8.1;1.33;0;1.8;0.082;3;12;0.9964;2.54;0.48;10.9;0
129;15;8;0.59;0.16;1.8;0.065;3;16;0.9962;2.42;0.92;10.5;1
130;24;6.1;0.38;0.15;1.8;0.072;6;19;0.9955;2.42;0.57;9.4;0
131;26;8;0.745;0.56;2;0.118;30;134;0.9968;2.24;0.66;9.4;0
132;22;5.6;0.5;0.09;2.3;0.049;17;99;0.9937;2.63;0.63;13;0
133;24;5.6;0.5;0.09;2.3;0.049;17;99;0.9937;2.63;0.63;13;0
134;27;6.6;0.5;0.01;1.5;0.06;17;26;0.9952;2.4;0.58;9.8;1
135;13;7.9;1.04;0.05;2.2;0.084;13;29;0.9959;2.22;0.55;9.9;1
136;27;8.4;0.745;0.11;1.9;0.09;16;63;0.9965;2.19;0.82;9.6;0
137;10;8.3;0.715;0.15;1.8;0.089;10;52;0.9968;2.23;0.77;9.5;0
138;26;7.2;0.415;0.36;2;0.081;13;45;0.9972;2.48;0.64;9.2;0
139;23;7.8;0.56;0.19;2.1;0.081;15;105;0.9962;2.33;0.54;9.5;0
140;14;7.8;0.56;0.19;2;0.081;17;108;0.9962;2.32;0.54;9.5;0
141;23;8.4;0.745;0.11;1.9;0.09;16;63;0.9965;2.19;0.82;9.6;0
142;16;8.3;0.715;0.15;1.8;0.089;10;52;0.9968;2.23;0.77;9.5;0
143;17;5.2;0.34;0;1.8;0.05;27;63;0.9916;2.68;0.79;14;1
144;19;6.3;0.39;0.08;1.7;0.066;3;20;0.9954;2.34;0.58;9.4;0
145;24;5.2;0.34;0;1.8;0.05;27;63;0.9916;2.68;0.79;14;1
146;21;8.1;0.67;0.55;1.8;0.117;32;141;0.9968;2.17;0.62;9.4;0
147;20;5.8;0.68;0.02;1.8;0.087;21;94;0.9944;2.54;0.52;10;0
148;24;7.6;0.49;0.26;1.6;0.236;10;88;0.9968;2.11;0.8;9.3;0
149;10;6.9;0.49;0.1;2.3;0.074;12;30;0.9959;2.42;0.58;10.2;1
150;30;8.2;0.4;0.44;2.8;0.089;11;43;0.9975;2.53;0.61;10.5;1
151;20;7.3;0.33;0.47;2.1;0.077;5;11;0.9958;2.33;0.53;10.3;1
152;18;9.2;0.52;1;3.4;0.61;32;69;0.9996;1.74;2;9.4;0
153;21;7.5;0.6;0.03;1.8;0.095;25;99;0.995;2.35;0.54;10.1;0
154;27;7.5;0.6;0.03;1.8;0.095;25;99;0.995;2.35;0.54;10.1;0
155;18;7.1;0.43;0.42;5.5;0.07;29;129;0.9973;2.42;0.72;10.5;0
156;25;7.1;0.43;0.42;5.5;0.071;28;128;0.9973;2.42;0.71;10.5;0
157;17;7.1;0.43;0.42;5.5;0.07;29;129;0.9973;2.42;0.72;10.5;0
158;25;7.1;0.43;0.42;5.5;0.071;28;128;0.9973;2.42;0.71;10.5;0
159;14;7.1;0.68;0;2.2;0.073;12;22;0.9969;2.48;0.5;9.3;0
160;10;6.8;0.6;0.18;1.9;0.079;18;86;0.9968;2.59;0.57;9.3;1
161;25;7.6;0.95;0.03;2;0.09;7;20;0.9959;2.2;0.56;9.6;0
162;15;7.6;0.68;0.02;1.3;0.072;9;20;0.9965;2.17;1.08;9.2;0
163;19;7.8;0.53;0.04;1.7;0.076;17;31;0.9964;2.33;0.56;10;1
164;30;7.4;0.6;0.26;7.3;0.07;36;121;0.9982;2.37;0.49;9.4;0
165;10;7.3;0.59;0.26;7.2;0.07;35;121;0.9981;2.37;0.49;9.4;0
166;25;7.8;0.63;0.48;1.7;0.1;14;96;0.9961;2.19;0.62;9.5;0
167;28;6.8;0.64;0.1;2.1;0.085;18;101;0.9956;2.34;0.52;10.2;0
168;27;7.3;0.55;0.03;1.6;0.072;17;42;0.9956;2.37;0.48;9;0
169;24;6.8;0.63;0.07;2.1;0.089;11;44;0.9953;2.47;0.55;10.4;1
170;27;7.5;0.705;0.24;1.8;0.36;15;63;0.9964;2;1.59;9.5;0
171;23;7.9;0.885;0.03;1.8;0.058;4;8;0.9972;2.36;0.33;9.1;0
172;22;8;0.42;0.17;2;0.073;6;18;0.9972;2.29;0.61;9.2;1
173;14;8;0.42;0.17;2;0.073;6;18;0.9972;2.29;0.61;9.2;1
174;14;7.4;0.62;0.05;1.9;0.068;24;42;0.9961;2.42;0.57;11.5;1
175;18;7.3;0.38;0.21;2;0.08;7;35;0.9961;2.33;0.47;9.5;0
176;30;6.9;0.5;0.04;1.5;0.085;19;49;0.9958;2.35;0.78;9.5;0
177;22;7.3;0.38;0.21;2;0.08;7;35;0.9961;2.33;0.47;9.5;0
178;19;7.5;0.52;0.42;2.3;0.087;8;38;0.9972;2.58;0.61;10.5;1
179;27;7;0.805;0;2.5;0.068;7;20;0.9969;2.48;0.56;9.6;0
180;10;8.8;0.61;0.14;2.4;0.067;10;42;0.9969;2.19;0.59;9.5;0
181;15;8.8;0.61;0.14;2.4;0.067;10;42;0.9969;2.19;0.59;9.5;0
182;24;8.9;0.61;0.49;2;0.27;23;110;0.9972;2.12;1.02;9.3;0
183;15;7.2;0.73;0.02;2.5;0.076;16;42;0.9972;2.44;0.52;9.3;0
184;18;6.8;0.61;0.2;1.8;0.077;11;65;0.9971;2.54;0.58;9.3;0
185;18;6.7;0.62;0.21;1.9;0.079;8;62;0.997;2.52;0.58;9.3;1
186;12;8.9;0.31;0.57;2;0.111;26;85;0.9971;2.26;0.53;9.7;0
187;25;7.4;0.39;0.48;2;0.082;14;67;0.9972;2.34;0.55;9.2;0
188;19;7.7;0.705;0.1;2.6;0.084;9;26;0.9976;2.39;0.49;9.7;0
189;10;7.9;0.5;0.33;2;0.084;15;143;0.9968;2.2;0.55;9.5;0
190;19;7.9;0.49;0.32;1.9;0.082;17;144;0.9968;2.2;0.55;9.5;0
191;16;8.2;0.5;0.35;2.9;0.077;21;127;0.9976;2.23;0.62;9.4;0
192;10;6.4;0.37;0.25;1.9;0.074;21;49;0.9974;2.57;0.62;9.8;1
193;26;6.8;0.63;0.12;3.8;0.099;16;126;0.9969;2.28;0.61;9.5;0
194;28;7.6;0.55;0.21;2.2;0.071;7;28;0.9964;2.28;0.55;9.7;0
195;15;7.6;0.55;0.21;2.2;0.071;7;28;0.9964;2.28;0.55;9.7;0
196;23;7.8;0.59;0.33;2;0.074;24;120;0.9968;2.25;0.54;9.4;0
197;29;7.3;0.58;0.3;2.4;0.074;15;55;0.9968;2.46;0.59;10.2;0
198;17;11.5;0.3;0.6;2;0.067;12;27;0.9981;2.11;0.97;10.1;1
199;13;5.4;0.835;0.08;1.2;0.046;13;93;0.9924;2.57;0.85;13;1
200;28;6.9;1.09;0.06;2.1;0.061;12;31;0.9948;2.51;0.43;11.4;0
201;14;9.6;0.32;0.47;1.4;0.056;9;24;0.99695;2.22;0.82;10.3;1
202;23;8.8;0.37;0.48;2.1;0.097;39;145;0.9975;2.04;1.03;9.3;0
203;13;6.8;0.5;0.11;1.5;0.075;16;49;0.99545;2.36;0.79;9.5;0
204;28;7;0.42;0.35;1.6;0.088;16;39;0.9961;2.34;0.55;9.2;0
205;16;7;0.43;0.36;1.6;0.089;14;37;0.99615;2.34;0.56;9.2;1
206;11;12.8;0.3;0.74;2.6;0.095;9;28;0.9994;2.2;0.77;10.8;1
207;23;12.8;0.3;0.74;2.6;0.095;9;28;0.9994;2.2;0.77;10.8;1
208;24;7.8;0.57;0.31;1.8;0.069;26;120;0.99625;2.29;0.53;9.3;0
209;24;7.8;0.44;0.28;2.7;0.1;18;95;0.9966;2.22;0.67;9.4;0
210;29;11;0.3;0.58;2.1;0.054;7;19;0.998;2.31;0.88;10.5;1
211;15;9.7;0.53;0.6;2;0.039;5;19;0.99585;2.3;0.86;12.4;1
212;30;8;0.725;0.24;2.8;0.083;10;62;0.99685;2.35;0.56;10;1
213;18;11.6;0.44;0.64;2.1;0.059;5;15;0.998;2.21;0.67;10.2;1
214;18;8.2;0.57;0.26;2.2;0.06;28;65;0.9959;2.3;0.43;10.1;0
215;16;7.8;0.735;0.08;2.4;0.092;10;41;0.9974;2.24;0.71;9.8;1
216;22;7;0.49;0.49;5.6;0.06;26;121;0.9974;2.34;0.76;10.5;0
217;28;8.7;0.625;0.16;2;0.101;13;49;0.9962;2.14;0.57;11;0
218;14;8.1;0.725;0.22;2.2;0.072;11;41;0.9967;2.36;0.55;9.1;0
219;27;7.5;0.49;0.19;1.9;0.076;10;44;0.9957;2.39;0.54;9.7;0
220;18;7.8;0.53;0.33;2.4;0.08;24;144;0.99655;2.3;0.6;9.5;0
221;12;7.8;0.34;0.37;2;0.082;24;58;0.9964;2.34;0.59;9.4;1
222;20;7.4;0.53;0.26;2;0.101;16;72;0.9957;2.15;0.57;9.4;0
223;23;6.8;0.61;0.04;1.5;0.057;5;10;0.99525;2.42;0.6;9.5;0
224;29;8.6;0.645;0.25;2;0.083;8;28;0.99815;2.28;0.6;10;1
225;16;8.4;0.635;0.36;2;0.089;15;55;0.99745;2.31;0.57;10.4;0
226;14;7.7;0.43;0.25;2.6;0.073;29;63;0.99615;2.37;0.58;10.5;1
227;16;8.9;0.59;0.5;2;0.337;27;81;0.9964;2.04;1.61;9.5;1
228;23;9;0.82;0.14;2.6;0.089;9;23;0.9984;2.39;0.63;9.8;0
229;15;7.7;0.43;0.25;2.6;0.073;29;63;0.99615;2.37;0.58;10.5;1
230;26;6.9;0.52;0.25;2.6;0.081;10;37;0.99685;2.46;0.5;11;0
231;26;5.2;0.48;0.04;1.6;0.054;19;106;0.9927;2.54;0.62;12.2;1
232;17;8;0.38;0.06;1.8;0.078;12;49;0.99625;2.37;0.52;9.9;1
233;29;8.5;0.37;0.2;2.8;0.09;18;58;0.998;2.34;0.7;9.6;1
234;10;6.9;0.52;0.25;2.6;0.081;10;37;0.99685;2.46;0.5;11;0
235;28;8.2;1;0.09;2.3;0.065;7;37;0.99685;2.32;0.55;9;1
236;18;7.2;0.63;0;1.9;0.097;14;38;0.99675;2.37;0.58;9;1
237;24;7.2;0.63;0;1.9;0.097;14;38;0.99675;2.37;0.58;9;1
238;15;7.2;0.645;0;1.9;0.097;15;39;0.99675;2.37;0.58;9.2;1
239;23;7.2;0.63;0;1.9;0.097;14;38;0.99675;2.37;0.58;9;1
240;12;8.2;1;0.09;2.3;0.065;7;37;0.99685;2.32;0.55;9;1
241;24;8.9;0.635;0.37;1.7;0.263;5;62;0.9971;2;1.09;9.3;0
242;22;12;0.38;0.56;2.1;0.093;6;24;0.99925;2.14;0.71;10.9;1
243;25;7.7;0.58;0.1;1.8;0.102;28;109;0.99565;2.08;0.49;9.8;1
244;30;15;0.21;0.44;2.2;0.075;10;24;1.00005;2.07;0.84;9.2;1
245;28;15;0.21;0.44;2.2;0.075;10;24;1.00005;2.07;0.84;9.2;1
246;12;7.3;0.66;0;2;0.084;6;23;0.9983;2.61;0.96;9.9;1
247;21;7.1;0.68;0.07;1.9;0.075;16;51;0.99685;2.38;0.52;9.5;0
248;10;8.2;0.6;0.17;2.3;0.072;11;73;0.9963;2.2;0.45;9.3;0
249;13;7.7;0.53;0.06;1.7;0.074;9;39;0.99615;2.35;0.48;9.8;1
250;20;7.3;0.66;0;2;0.084;6;23;0.9983;2.61;0.96;9.9;1
251;27;10.8;0.32;0.44;1.6;0.063;16;37;0.9985;2.22;0.78;10;1
252;14;7.1;0.6;0;1.8;0.074;16;34;0.9972;2.47;0.7;9.9;1
253;18;11.1;0.35;0.48;3.1;0.09;5;21;0.9986;2.17;0.53;10.5;0
254;29;7.7;0.775;0.42;1.9;0.092;8;86;0.9959;2.23;0.59;9.5;0
255;11;7.1;0.6;0;1.8;0.074;16;34;0.9972;2.47;0.7;9.9;1
256;30;8;0.57;0.23;3.2;0.073;17;119;0.99675;2.26;0.57;9.3;0
257;20;9.4;0.34;0.37;2.2;0.075;5;13;0.998;2.22;0.62;9.2;0
258;20;6.6;0.695;0;2.1;0.075;12;56;0.9968;2.49;0.67;9.2;0
259;25;7.7;0.41;0.76;1.8;0.611;8;45;0.9968;2.06;1.26;9.4;0
260;20;10;0.31;0.47;2.6;0.085;14;33;0.99965;2.36;0.8;10.5;1
261;29;7.9;0.33;0.23;1.7;0.077;18;45;0.99625;2.29;0.65;9.3;0
262;14;7;0.975;0.04;2;0.087;12;67;0.99565;2.35;0.6;9.4;0
263;10;8;0.52;0.03;1.7;0.07;10;35;0.99575;2.34;0.57;10;0
264;21;7.9;0.37;0.23;1.8;0.077;23;49;0.9963;2.28;0.67;9.3;0
265;21;12.5;0.56;0.49;2.4;0.064;5;27;0.9999;2.08;0.87;10.9;0
266;24;11.8;0.26;0.52;1.8;0.071;6;10;0.9968;2.2;0.72;10.2;1
267;12;8.1;0.87;0;3.3;0.096;26;61;1.00025;2.6;0.72;9.8;0
268;25;7.9;0.35;0.46;3.6;0.078;15;37;0.9973;2.35;0.86;12.8;1
269;15;6.9;0.54;0.04;3;0.077;7;27;0.9987;2.69;0.91;9.4;1
270;23;11.5;0.18;0.51;4;0.104;4;23;0.9996;2.28;0.97;10.1;1
271;14;7.9;0.545;0.06;4;0.087;27;61;0.9965;2.36;0.67;10.7;1
272;15;11.5;0.18;0.51;4;0.104;4;23;0.9996;2.28;0.97;10.1;1
273;15;10.9;0.37;0.58;4;0.071;17;65;0.99935;2.22;0.78;10.1;0
274;30;8.4;0.715;0.2;2.4;0.076;10;38;0.99735;2.31;0.64;9.4;0
275;22;7.5;0.65;0.18;7;0.088;27;94;0.99915;2.38;0.77;9.4;0
276;12;7.9;0.545;0.06;4;0.087;27;61;0.9965;2.36;0.67;10.7;1
277;10;6.9;0.54;0.04;3;0.077;7;27;0.9987;2.69;0.91;9.4;1
278;13;11.5;0.18;0.51;4;0.104;4;23;0.9996;2.28;0.97;10.1;1
279;30;10.3;0.32;0.45;6.4;0.073;5;13;0.9976;2.23;0.82;12.6;1
280;26;8.9;0.4;0.32;5.6;0.087;10;47;0.9991;2.38;0.77;10.5;1
281;21;11.4;0.26;0.44;3.6;0.071;6;19;0.9986;2.12;0.82;9.3;1
282;11;7.7;0.27;0.68;3.5;0.358;5;10;0.9972;2.25;1.08;9.9;1
283;23;7.6;0.52;0.12;3;0.067;12;53;0.9971;2.36;0.57;9.1;0
284;14;8.9;0.4;0.32;5.6;0.087;10;47;0.9991;2.38;0.77;10.5;1
285;29;9.9;0.59;0.07;3.4;0.102;32;71;1.00015;2.31;0.71;9.8;0
286;26;9.9;0.59;0.07;3.4;0.102;32;71;1.00015;2.31;0.71;9.8;0
287;21;12;0.45;0.55;2;0.073;25;49;0.9997;2.1;0.76;10.3;1
288;30;7.5;0.4;0.12;3;0.092;29;53;0.9967;2.37;0.7;10.3;1
289;29;8.7;0.52;0.09;2.5;0.091;20;49;0.9976;2.34;0.86;10.6;1
290;15;11.6;0.42;0.53;3.3;0.105;33;98;1.001;2.2;0.95;9.2;0
291;16;8.7;0.52;0.09;2.5;0.091;20;49;0.9976;2.34;0.86;10.6;1
292;14;11;0.2;0.48;2;0.343;6;18;0.9979;2.3;0.71;10.5;0
293;18;10.4;0.55;0.23;2.7;0.091;18;48;0.9994;2.22;0.64;10.3;1
294;24;6.9;0.36;0.25;2.4;0.098;5;16;0.9964;2.41;0.6;10.1;1
295;23;13.3;0.34;0.52;3.2;0.094;17;53;1.0014;2.05;0.81;9.5;1
296;17;10.8;0.5;0.46;2.5;0.073;5;27;1.0001;2.05;0.64;9.5;0
297;10;10.6;0.83;0.37;2.6;0.086;26;70;0.9981;2.16;0.52;9.9;0
298;14;7.1;0.63;0.06;2;0.083;8;29;0.99855;2.67;0.73;9.6;0
